article_id,original_index,company_name_clean,has_company_metadata,title,category,category_clean,author,published_date_clean,published_year,published_quarter,published_month,published_year_month,word_count,revenue_usd_M,summary,url,industry,headquarters,founded_year,employee_count,is_public,stock_ticker,company_age,company_size_category
ART0565,564,Airbnb,True,Airbnb Acquires Competitor for Undisclosed Sum,Security,Cybersecurity,Alex Johnson,20-11-2024,2024,4,11,2024-11,2177,8190,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/565,Data Analytics,"London, UK",1999,19967,False,,25,Medium
ART0279,278,Airbnb,True,Airbnb Expands into European Market,Security,Cybersecurity,John Smith,14-04-2023,2023,2,4,2023-04,2063,,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/279,Data Analytics,"London, UK",1999,19967,False,,24,Medium
ART0162,161,Airbnb,True,Airbnb CEO Discusses Future of AI,InfoSec,Cybersecurity,Unknown,08-12-2023,2023,4,12,2023-12,2743,,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/162,Data Analytics,"London, UK",1999,19967,False,,24,Medium
ART0591,590,Airbnb,True,Airbnb Raises Series D Funding Round,Cybersecurity,Cybersecurity,Unknown,23-02-2024,2024,1,2,2024-02,1902,7878,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/591,Data Analytics,"London, UK",1999,19967,False,,25,Medium
ART0437,436,Airbnb,True,Airbnb CEO Discusses Future of AI,Data Analytics,Data_Analytics,Alex Johnson,10-01-2021,2021,1,1,2021-01,1199,3400,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/437,Data Analytics,"London, UK",1999,19967,False,,22,Medium
ART0378,377,Airbnb,True,Airbnb Achieves Profitability Milestone,Software,Enterprise_Software,Alex Johnson,11-11-2020,2020,4,11,2020-11,2296,3000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/378,Data Analytics,"London, UK",1999,19967,False,,21,Medium
ART0094,93,Airbnb,True,Airbnb Launches New AI-Powered Product,Enterprise Software,Enterprise_Software,John Smith,13-02-2023,2023,1,2,2023-02,2959,6600,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/94,Data Analytics,"London, UK",1999,19967,False,,24,Medium
ART0489,488,Airbnb,True,Airbnb Acquires Competitor for Undisclosed Sum,Software,Enterprise_Software,John Smith,24-12-2020,2020,4,12,2020-12,2876,,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/489,Data Analytics,"London, UK",1999,19967,False,,21,Medium
ART0625,624,Airbnb,True,Airbnb Acquires Competitor for Undisclosed Sum,Enterprise Software,Enterprise_Software,Sam Wilson,18-01-2023,2023,1,1,2023-01,2539,6600,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/625,Data Analytics,"London, UK",1999,19967,False,,24,Medium
ART0082,81,Airbnb,True,Airbnb Achieves Profitability Milestone,Enterprise Software,Enterprise_Software,Unknown,10-08-2023,2023,3,8,2023-08,2799,7400,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/82,Data Analytics,"London, UK",1999,19967,False,,24,Medium
ART0476,475,Airbnb,True,Airbnb CEO Discusses Future of AI,FinTech,FinTech,Jane Doe,10-01-2020,2020,1,1,2020-01,1352,2600,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/476,Data Analytics,"London, UK",1999,19967,False,,21,Medium
ART0697,696,Airbnb,True,Airbnb Reports Record Revenue Growth,Financial Technology,FinTech,John Smith,02-07-2023,2023,3,7,2023-07,2519,7400,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/697,Data Analytics,"London, UK",1999,19967,False,,24,Medium
ART0077,76,Airbnb,True,Airbnb Faces Regulatory Scrutiny,Finance,FinTech,Unknown,28-08-2021,2021,3,8,2021-08,700,4200,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/77,Data Analytics,"London, UK",1999,19967,False,,22,Medium
ART0429,428,Airbnb,True,Airbnb Partners with Major Enterprise Client,SaaS,SaaS,Sam Wilson,11-09-2021,2021,3,9,2021-09,2476,4200,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/429,Data Analytics,"London, UK",1999,19967,False,,22,Medium
ART0140,139,Airbnb,True,Airbnb CEO Discusses Future of AI,SaaS,SaaS,Sam Wilson,24-09-2020,2020,3,9,2020-09,896,,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/140,Data Analytics,"London, UK",1999,19967,False,,21,Medium
ART0105,104,Amazon Web Services,True,Amazon Web Services Faces Regulatory Scrutiny,Machine Learning,AI_ML,Unknown,09-11-2020,2020,4,11,2020-11,1823,,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/105,SaaS,"Berlin, Germany",2015,27826,False,,5,Medium
ART0117,116,Amazon Web Services,True,Amazon Web Services Expands into European Market,Cloud Computing,Cloud_Computing,Alex Johnson,09-07-2022,2022,3,7,2022-07,834,78000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/117,SaaS,"Berlin, Germany",2015,27826,False,,7,Medium
ART0278,277,Amazon Web Services,True,Amazon Web Services Expands into European Market,Cloud Computing,Cloud_Computing,Alex Johnson,18-07-2020,2020,3,7,2020-07,1857,45500,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/278,SaaS,"Berlin, Germany",2015,27826,False,,5,Medium
ART0114,113,Amazon Web Services,True,Amazon Web Services Launches New AI-Powered Product,Cloud,Cloud_Computing,Alex Johnson,19-11-2023,2023,4,11,2023-11,2338,95000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/114,SaaS,"Berlin, Germany",2015,27826,False,,8,Medium
ART0666,665,Amazon Web Services,True,AWS Releases Open Source Framework,Cloud,Cloud_Computing,Alex Johnson,25-05-2024,2024,2,5,2024-05,2685,98800,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/666,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0473,472,Amazon Web Services,True,Amazon Web Services Unveils Next-Generation Platform,Cloud,Cloud_Computing,Jane Doe,27-01-2022,2022,1,1,2022-01,,70000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/473,SaaS,"Berlin, Germany",2015,27826,False,,7,Medium
ART0182,181,Amazon Web Services,True,Amazon Web Services Raises Series D Funding Round,Cloud Computing,Cloud_Computing,Sam Wilson,16-07-2020,2020,3,7,2020-07,1496,,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/182,SaaS,"Berlin, Germany",2015,27826,False,,5,Medium
ART0660,659,Amazon Web Services,True,Amazon Web Services Unveils Next-Generation Platform,Cloud,Cloud_Computing,Sam Wilson,23-10-2024,2024,4,10,2024-10,684,102600,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/660,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0670,669,Amazon Web Services,True,Amazon Web Services (AWS) Raises Series D Funding Round,Cloud,Cloud_Computing,Unknown,27-09-2024,2024,3,9,2024-09,2675,100700,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/670,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0195,194,Amazon Web Services,True,Amazon Web Services CEO Discusses Future of AI,InfoSec,Cybersecurity,Alex Johnson,15-10-2021,2021,4,10,2021-10,2809,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/195,SaaS,"Berlin, Germany",2015,27826,False,,6,Medium
ART0623,622,Amazon Web Services,True,Amazon Web Services Launches New AI-Powered Product,InfoSec,Cybersecurity,Alex Johnson,20-12-2024,2024,4,12,2024-12,1883,102600,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/623,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0501,500,Amazon Web Services,True,Amazon Web Services Releases Open Source Framework,InfoSec,Cybersecurity,Sam Wilson,04-10-2024,2024,4,10,2024-10,952,102600,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/501,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0590,589,Amazon Web Services,True,Amazon Web Services Partners with Major Enterprise Client,InfoSec,Cybersecurity,Unknown,20-01-2022,2022,1,1,2022-01,2291,70000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/590,SaaS,"Berlin, Germany",2015,27826,False,,7,Medium
ART0080,79,Amazon Web Services,True,Amazon Web Services Reports Record Revenue Growth,Analytics,Data_Analytics,Alex Johnson,27-09-2020,2020,3,9,2020-09,1887,45500,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/80,SaaS,"Berlin, Germany",2015,27826,False,,5,Medium
ART0513,512,Amazon Web Services,True,Amazon Web Services (AWS) Announces Breakthrough in Large Language Models,Big Data,Data_Analytics,Jane Doe,04-03-2024,2024,1,3,2024-03,2239,98800,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/513,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0530,529,Amazon Web Services,True,Amazon Web Services Raises Series D Funding Round,Big Data,Data_Analytics,Jane Doe,06-03-2024,2024,1,3,2024-03,1331,96900,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/530,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0388,387,Amazon Web Services,True,Amazon Web Services Releases Open Source Framework,Analytics,Data_Analytics,Jane Doe,13-05-2023,2023,2,5,2023-05,1376,,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/388,SaaS,"Berlin, Germany",2015,27826,False,,8,Medium
ART0495,494,Amazon Web Services,True,Amazon Web Services Expands into European Market,Analytics,Data_Analytics,Sam Wilson,09-04-2021,2021,2,4,2021-04,1158,58000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/495,SaaS,"Berlin, Germany",2015,27826,False,,6,Medium
ART0503,502,Amazon Web Services,True,AWS Raises Series D Funding Round,Data Analytics,Data_Analytics,Sam Wilson,09-06-2024,2024,2,6,2024-06,1184,98800,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/503,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0723,722,Amazon Web Services,True,Amazon Web Services Partners with Major Enterprise Client,Big Data,Data_Analytics,Unknown,08-06-2024,2024,2,6,2024-06,890,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/723,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0369,368,Amazon Web Services,True,Amazon Web Services Unveils Next-Generation Platform,Big Data,Data_Analytics,Unknown,15-08-2023,2023,3,8,2023-08,1666,92000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/369,SaaS,"Berlin, Germany",2015,27826,False,,8,Medium
ART0233,232,Amazon Web Services,True,Amazon Web Services Reports Record Revenue Growth,Big Data,Data_Analytics,Unknown,22-11-2022,2022,4,11,2022-11,2011,81000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/233,SaaS,"Berlin, Germany",2015,27826,False,,7,Medium
ART0136,135,Amazon Web Services,True,Amazon Web Services Acquires Competitor for Undisclosed Sum,Analytics,Data_Analytics,Unknown,23-12-2023,2023,4,12,2023-12,1740,,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/136,SaaS,"Berlin, Germany",2015,27826,False,,8,Medium
ART0098,97,Amazon Web Services,True,Amazon Web Services Acquires Competitor for Undisclosed Sum,Data Analytics,Data_Analytics,Unknown,30-09-2021,2021,3,9,2021-09,,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/98,SaaS,"Berlin, Germany",2015,27826,False,,6,Medium
ART0596,595,Amazon Web Services,True,AWS Raises Series D Funding Round,Enterprise Software,Enterprise_Software,Alex Johnson,17-06-2024,2024,2,6,2024-06,2337,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/596,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0696,695,Amazon Web Services,True,Amazon Web Services Reports Record Revenue Growth,Software,Enterprise_Software,Jane Doe,02-04-2023,2023,2,4,2023-04,2536,88500,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/696,SaaS,"Berlin, Germany",2015,27826,False,,8,Medium
ART0448,447,Amazon Web Services,True,Amazon Web Services CEO Discusses Future of AI,Enterprise Software,Enterprise_Software,John Smith,23-05-2023,2023,2,5,2023-05,2009,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/448,SaaS,"Berlin, Germany",2015,27826,False,,8,Medium
ART0375,374,Amazon Web Services,True,Amazon Web Services Achieves Profitability Milestone,Software,Enterprise_Software,John Smith,27-03-2020,2020,1,3,2020-03,1392,38000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/375,SaaS,"Berlin, Germany",2015,27826,False,,5,Medium
ART0246,245,Amazon Web Services,True,Amazon Web Services Announces Breakthrough in Large Language Models,FinTech,FinTech,Alex Johnson,15-10-2021,2021,4,10,2021-10,1453,65000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/246,SaaS,"Berlin, Germany",2015,27826,False,,6,Medium
ART0005,4,Amazon Web Services,True,Amazon Web Services Acquires Competitor for Undisclosed Sum,Financial Technology,FinTech,Alex Johnson,28-12-2021,2021,4,12,2021-12,2781,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/5,SaaS,"Berlin, Germany",2015,27826,False,,6,Medium
ART0272,271,Amazon Web Services,True,Amazon Web Services Expands into European Market,Finance,FinTech,Jane Doe,11-11-2023,2023,4,11,2023-11,1602,95000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/272,SaaS,"Berlin, Germany",2015,27826,False,,8,Medium
ART0247,246,Amazon Web Services,True,Amazon Web Services Raises Series D Funding Round,FinTech,FinTech,Jane Doe,22-05-2021,2021,2,5,2021-05,1969,58000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/247,SaaS,"Berlin, Germany",2015,27826,False,,6,Medium
ART0564,563,Amazon Web Services,True,Amazon Web Services Faces Regulatory Scrutiny,FinTech,FinTech,Sam Wilson,28-07-2024,2024,3,7,2024-07,1505,100700,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/564,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0401,400,Amazon Web Services,True,Amazon Web Services Announces Breakthrough in Large Language Models,Financial Technology,FinTech,Unknown,04-08-2021,2021,3,8,2021-08,941,,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/401,SaaS,"Berlin, Germany",2015,27826,False,,6,Medium
ART0285,284,Amazon Web Services,True,Amazon Web Services CEO Discusses Future of AI,FinTech,FinTech,Unknown,09-02-2020,2020,1,2,2020-02,653,38000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/285,SaaS,"Berlin, Germany",2015,27826,False,,5,Medium
ART0601,600,Amazon Web Services,True,Amazon Web Services (AWS) Reports Record Revenue Growth,SaaS,SaaS,Sam Wilson,08-07-2024,2024,3,7,2024-07,1219,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/601,SaaS,"Berlin, Germany",2015,27826,False,,9,Medium
ART0157,156,Anthropic,True,Anthropic Announces Breakthrough in Large Language Models,AI & ML,AI_ML,Alex Johnson,03-09-2021,2021,3,9,2021-09,961,45,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/157,FinTech,"San Francisco, CA",2006,43747,False,,15,Large
ART0311,310,Anthropic,True,Anthropic Launches New AI-Powered Product,Artificial Intelligence,AI_ML,Alex Johnson,22-10-2021,2021,4,10,2021-10,1253,70,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/311,FinTech,"San Francisco, CA",2006,43747,False,,15,Large
ART0086,85,Anthropic,True,Anthropic CEO Discusses Future of AI,AI & ML,AI_ML,Jane Doe,19-07-2021,2021,3,7,2021-07,2812,45,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/86,FinTech,"San Francisco, CA",2006,43747,False,,15,Large
ART0452,451,Anthropic,True,Anthropic Achieves Profitability Milestone,AI/ML,AI_ML,Jane Doe,20-08-2021,2021,3,8,2021-08,1627,45,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/452,FinTech,"San Francisco, CA",2006,43747,False,,15,Large
ART0534,533,Anthropic,True,Anthropic Achieves Profitability Milestone,Artificial Intelligence,AI_ML,Jane Doe,28-02-2023,2023,1,2,2023-02,1692,320,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/534,FinTech,"San Francisco, CA",2006,43747,False,,17,Large
ART0444,443,Anthropic,True,Anthropic Acquires Competitor for Undisclosed Sum,AI/ML,AI_ML,Jane Doe,29-01-2023,2023,1,1,2023-01,2917,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/444,FinTech,"San Francisco, CA",2006,43747,False,,17,Large
ART0631,630,Anthropic,True,Anthropic Acquires Competitor for Undisclosed Sum,Artificial Intelligence,AI_ML,John Smith,09-01-2024,2024,1,1,2024-01,,602,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/631,FinTech,"San Francisco, CA",2006,43747,False,,18,Large
ART0469,468,Anthropic,True,Anthropic Acquires Competitor for Undisclosed Sum,Artificial Intelligence,AI_ML,John Smith,24-04-2020,2020,2,4,2020-04,,,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/469,FinTech,"San Francisco, CA",2006,43747,False,,14,Large
ART0314,313,Anthropic,True,Anthropic Achieves Profitability Milestone,AI & ML,AI_ML,Sam Wilson,19-10-2021,2021,4,10,2021-10,1714,70,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/314,FinTech,"San Francisco, CA",2006,43747,False,,15,Large
ART0044,43,Anthropic,True,Anthropic Acquires Competitor for Undisclosed Sum,Machine Learning,AI_ML,Unknown,04-04-2021,2021,2,4,2021-04,1017,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/44,FinTech,"San Francisco, CA",2006,43747,False,,15,Large
ART0249,248,Anthropic,True,Anthropic Reports Record Revenue Growth,AI/ML,AI_ML,Unknown,17-05-2023,2023,2,5,2023-05,1825,380,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/249,FinTech,"San Francisco, CA",2006,43747,False,,17,Large
ART0701,700,Anthropic,True,Anthropic Faces Regulatory Scrutiny,Machine Learning,AI_ML,Unknown,26-02-2024,2024,1,2,2024-02,687,602,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/701,FinTech,"San Francisco, CA",2006,43747,False,,18,Large
ART0426,425,Anthropic,True,Anthropic Achieves Profitability Milestone,Cloud Computing,Cloud_Computing,Alex Johnson,05-10-2020,2020,4,10,2020-10,1792,,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/426,FinTech,"San Francisco, CA",2006,43747,False,,14,Large
ART0026,25,Anthropic,True,Anthropic Acquires Competitor for Undisclosed Sum,Cloud Computing,Cloud_Computing,Jane Doe,07-04-2023,2023,2,4,2023-04,921,,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/26,FinTech,"San Francisco, CA",2006,43747,False,,17,Large
ART0454,453,Anthropic,True,Anthropic Acquires Competitor for Undisclosed Sum,Cloud Computing,Cloud_Computing,Sam Wilson,21-06-2020,2020,2,6,2020-06,1185,,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/454,FinTech,"San Francisco, CA",2006,43747,False,,14,Large
ART0250,249,Anthropic,True,Anthropic Announces Breakthrough in Large Language Models,Cloud Computing,Cloud_Computing,Unknown,29-10-2020,2020,4,10,2020-10,913,12,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/250,FinTech,"San Francisco, CA",2006,43747,False,,14,Large
ART0570,569,Anthropic,True,Anthropic Releases Open Source Framework,Cybersecurity,Cybersecurity,Alex Johnson,17-11-2024,2024,4,11,2024-11,984,1034,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/570,FinTech,"San Francisco, CA",2006,43747,False,,18,Large
ART0164,163,Anthropic,True,Anthropic Partners with Major Enterprise Client,Cybersecurity,Cybersecurity,John Smith,27-09-2020,2020,3,9,2020-09,512,,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/164,FinTech,"San Francisco, CA",2006,43747,False,,14,Large
ART0141,140,Anthropic,True,Anthropic Expands into European Market,Cybersecurity,Cybersecurity,Sam Wilson,25-02-2022,2022,1,2,2022-02,2412,95,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/141,FinTech,"San Francisco, CA",2006,43747,False,,16,Large
ART0410,409,Anthropic,True,Anthropic CEO Discusses Future of AI,Cybersecurity,Cybersecurity,Sam Wilson,31-01-2020,2020,1,1,2020-01,2374,5,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/410,FinTech,"San Francisco, CA",2006,43747,False,,14,Large
ART0330,329,Anthropic,True,Anthropic Achieves Profitability Milestone,Analytics,Data_Analytics,Alex Johnson,27-02-2021,2021,1,2,2021-02,2635,18,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/330,FinTech,"San Francisco, CA",2006,43747,False,,15,Large
ART0353,352,Anthropic,True,Anthropic Partners with Major Enterprise Client,Data Analytics,Data_Analytics,Alex Johnson,30-01-2022,2022,1,1,2022-01,2862,,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/353,FinTech,"San Francisco, CA",2006,43747,False,,16,Large
ART0457,456,Anthropic,True,Anthropic Raises Series D Funding Round,Analytics,Data_Analytics,John Smith,24-12-2022,2022,4,12,2022-12,2892,250,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/457,FinTech,"San Francisco, CA",2006,43747,False,,16,Large
ART0047,46,Anthropic,True,Anthropic Acquires Competitor for Undisclosed Sum,Analytics,Data_Analytics,John Smith,27-12-2022,2022,4,12,2022-12,1983,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/47,FinTech,"San Francisco, CA",2006,43747,False,,16,Large
ART0729,728,Anthropic,True,Anthropic Announces Breakthrough in Large Language Models,Software,Enterprise_Software,Jane Doe,11-08-2023,2023,3,8,2023-08,1434,430,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/729,FinTech,"San Francisco, CA",2006,43747,False,,17,Large
ART0668,667,Anthropic,True,Anthropic Unveils Next-Generation Platform,Software,Enterprise_Software,Sam Wilson,03-10-2024,2024,4,10,2024-10,1213,1034,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/668,FinTech,"San Francisco, CA",2006,43747,False,,18,Large
ART0597,596,Anthropic,True,Anthropic Releases Open Source Framework,Enterprise Software,Enterprise_Software,Sam Wilson,20-08-2024,2024,3,8,2024-08,2061,884,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/597,FinTech,"San Francisco, CA",2006,43747,False,,18,Large
ART0468,467,Anthropic,True,Anthropic Reports Record Revenue Growth,Enterprise Software,Enterprise_Software,Sam Wilson,21-02-2020,2020,1,2,2020-02,567,5,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/468,FinTech,"San Francisco, CA",2006,43747,False,,14,Large
ART0507,506,Anthropic,True,Anthropic Announces Breakthrough in Large Language Models,Enterprise Software,Enterprise_Software,Unknown,15-10-2024,2024,4,10,2024-10,1797,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/507,FinTech,"San Francisco, CA",2006,43747,False,,18,Large
ART0173,172,Anthropic,True,Anthropic Releases Open Source Framework,Software,Enterprise_Software,Unknown,25-04-2022,2022,2,4,2022-04,,130,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/173,FinTech,"San Francisco, CA",2006,43747,False,,16,Large
ART0261,260,Anthropic,True,Anthropic Expands into European Market,Financial Technology,FinTech,Alex Johnson,19-06-2022,2022,2,6,2022-06,2195,130,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/261,FinTech,"San Francisco, CA",2006,43747,False,,16,Large
ART0244,243,Anthropic,True,Anthropic Faces Regulatory Scrutiny,FinTech,FinTech,Alex Johnson,22-06-2023,2023,2,6,2023-06,2217,,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/244,FinTech,"San Francisco, CA",2006,43747,False,,17,Large
ART0064,63,Anthropic,True,Anthropic Partners with Major Enterprise Client,Financial Technology,FinTech,Jane Doe,29-06-2020,2020,2,6,2020-06,2541,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/64,FinTech,"San Francisco, CA",2006,43747,False,,14,Large
