article_id,title,company_name,published_date,category,arr_usd,summary,url,industry,founded_year,headquarters,employee_count,is_public,stock_ticker,company_age,company_size_category,embedding
ART0619,Facebook AI Research CEO Discusses Future of AI,Meta AI,21-06-2024,AI_ML,1725000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/619,Data Analytics,2001,"Seattle, WA",20240,True,,23,Medium,[]
ART0056,Meta AI Raises Series D Funding Round,Meta AI,31-03-2022,AI_ML,700000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/56,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium,[]
ART0322,Meta AI Launches New AI-Powered Product,Meta AI,06-10-2023,AI_ML,1500000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/322,Data Analytics,2001,"Seattle, WA",20240,True,,22,Medium,[]
ART0231,Meta AI Reports Record Revenue Growth,Meta AI,11-08-2022,AI_ML,1130000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/231,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium,[]
ART0694,Facebook AI Research Achieves Profitability Milestone,Meta AI,11-08-2024,AI_ML,1830000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/694,Data Analytics,2001,"Seattle, WA",20240,True,,23,Medium,[]
ART0392,Meta AI Faces Regulatory Scrutiny,Meta AI,08-08-2023,AI_ML,1400000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/392,Data Analytics,2001,"Seattle, WA",20240,True,,22,Medium,[]
ART0587,Meta AI Expands into European Market,Meta AI,24-01-2024,AI_ML,1620000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/587,Data Analytics,2001,"Seattle, WA",20240,True,,23,Medium,[]
ART0521,Microsoft Azure Achieves Profitability Milestone,Microsoft,25-01-2024,AI_ML,79170000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/521,Data Analytics,2018,"Austin, TX",48646,False,,6,Large,[]
ART0695,Microsoft CEO Discusses Future of AI,Microsoft,18-10-2023,AI_ML,78000000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/695,Data Analytics,2018,"Austin, TX",48646,False,,5,Large,[]
ART0722,Microsoft Unveils Next-Generation Platform,Microsoft,12-03-2024,AI_ML,79170000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/722,Data Analytics,2018,"Austin, TX",48646,False,,6,Large,[]
ART0463,Microsoft Releases Open Source Framework,Microsoft,02-06-2022,AI_ML,64000000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/463,Data Analytics,2018,"Austin, TX",48646,False,,4,Large,[]
ART0522,Azure Reports Record Revenue Growth,Microsoft,27-10-2024,AI_ML,83850000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/522,Data Analytics,2018,"Austin, TX",48646,False,,6,Large,[]
ART0691,Mistral AI Raises Series D Funding Round,Mistral AI,13-12-2024,AI_ML,260000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/691,,,,,,,,Unknown,[]
ART0412,MongoDB Releases Open Source Framework,MongoDB,21-03-2022,AI_ML,1080000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/412,SaaS,2008,"Austin, TX",16952,False,MONG,14,Medium,[]
ART0009,MongoDB Expands into European Market,MongoDB,02-07-2023,AI_ML,1480000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,SaaS,2008,"Austin, TX",16952,False,MONG,15,Medium,[]
ART0732,Mongo DB Unveils Next-Generation Platform,MongoDB,08-03-2024,AI_ML,1785000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/732,SaaS,2008,"Austin, TX",16952,False,MONG,16,Medium,[]
ART0548,NVIDIA Corporation Expands into European Market,NVIDIA,05-05-2024,AI_ML,54000000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/548,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0036,NVIDIA Launches New AI-Powered Product,NVIDIA,05-09-2023,AI_ML,40500000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/36,AI/ML,2017,"London, UK",22031,False,,6,Medium,[]
ART0717,NVIDIA Acquires Competitor for Undisclosed Sum,NVIDIA,13-08-2024,Cloud_Computing,58500000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/717,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0554,NVIDIA Announces Breakthrough in Large Language Models,NVIDIA,26-02-2022,Cybersecurity,17500000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/554,AI/ML,2017,"London, UK",22031,False,,5,Medium,[]
ART0708,NVIDIA Corporation CEO Discusses Future of AI,NVIDIA,05-08-2023,Cybersecurity,40500000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/708,AI/ML,2017,"London, UK",22031,False,,6,Medium,[]
ART0700,Nvidia Releases Open Source Framework,NVIDIA,10-09-2024,Data_Analytics,62100000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/700,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0649,NVIDIA CEO Discusses Future of AI,NVIDIA,24-01-2024,Data_Analytics,49500000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/649,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0411,NVIDIA CEO Discusses Future of AI,NVIDIA,04-09-2022,Data_Analytics,17800000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/411,AI/ML,2017,"London, UK",22031,False,,5,Medium,[]
ART0684,NVIDIA Acquires Competitor for Undisclosed Sum,NVIDIA,14-10-2024,Data_Analytics,62100000000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/684,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0621,Nvidia Acquires Competitor for Undisclosed Sum,NVIDIA,13-08-2024,Data_Analytics,58500000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/621,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0456,NVIDIA CEO Discusses Future of AI,NVIDIA,31-10-2023,Data_Analytics,45000000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/456,AI/ML,2017,"London, UK",22031,False,,6,Medium,[]
ART0029,NVIDIA Announces Breakthrough in Large Language Models,NVIDIA,13-09-2023,Data_Analytics,40500000000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/29,AI/ML,2017,"London, UK",22031,False,,6,Medium,[]
ART0236,NVIDIA Releases Open Source Framework,NVIDIA,25-04-2022,Data_Analytics,17800000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/236,AI/ML,2017,"London, UK",22031,False,,5,Medium,[]
ART0626,NVIDIA Corporation Acquires Competitor for Undisclosed Sum,NVIDIA,20-06-2024,FinTech,54000000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/626,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0524,NVIDIA Releases Open Source Framework,NVIDIA,21-06-2024,FinTech,54000000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/524,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0745,NVIDIA Unveils Next-Generation Platform,NVIDIA,08-09-2024,FinTech,58500000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/745,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0546,Nvidia Expands into European Market,NVIDIA,18-07-2024,FinTech,58500000000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/546,AI/ML,2017,"London, UK",22031,False,,7,Medium,[]
ART0223,NVIDIA Releases Open Source Framework,NVIDIA,15-05-2023,FinTech,36000000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/223,AI/ML,2017,"London, UK",22031,False,,6,Medium,[]
ART0683,OpenAI CEO Discusses Future of AI,OpenAI,04-04-2024,AI_ML,2790000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/683,Data Analytics,2006,"Austin, TX",12793,False,OPEN,18,Medium,[]
ART0634,Open AI Launches New AI-Powered Product,OpenAI,10-06-2023,AI_ML,1600000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/634,Data Analytics,2006,"Austin, TX",12793,False,OPEN,17,Medium,[]
ART0520,OpenAI Launches New AI-Powered Product,OpenAI,17-08-2023,AI_ML,1720000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/520,Data Analytics,2006,"Austin, TX",12793,False,OPEN,17,Medium,[]
ART0071,Palantir Raises Series D Funding Round,Palantir,13-12-2022,AI_ML,1700000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/71,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large,[]
ART0413,Palantir Launches New AI-Powered Product,Palantir,15-05-2022,AI_ML,1550000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/413,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large,[]
ART0672,Palantir Acquires Competitor for Undisclosed Sum,Palantir,03-05-2024,AI_ML,2392000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/672,Cloud Computing,2005,"Berlin, Germany",42306,True,,19,Large,[]
ART0239,Palantir Expands into European Market,Palantir,08-06-2022,AI_ML,1550000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/239,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large,[]
ART0641,Perplexity AI Unveils Next-Generation Platform,Perplexity AI,19-08-2024,AI_ML,85000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/641,,,,,,,,Unknown,[]
ART0079,Scale AI Raises Series D Funding Round,Scale AI,09-07-2023,AI_ML,735000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/79,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,[]
ART0487,Scale AI Partners with Major Enterprise Client,Scale AI,12-12-2023,AI_ML,760000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/487,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,[]
ART0219,Scale AI Raises Series D Funding Round,Scale AI,12-12-2023,AI_ML,760000000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/219,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,[]
ART0051,Scale AI Unveils Next-Generation Platform,Scale AI,02-10-2022,AI_ML,570000000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/51,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium,[]
ART0741,Scale AI CEO Discusses Future of AI,Scale AI,05-01-2024,AI_ML,897000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/741,AI/ML,2003,"Berlin, Germany",23379,False,,21,Medium,[]
ART0273,Scale AI CEO Discusses Future of AI,Scale AI,17-11-2022,AI_ML,570000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/273,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium,[]
ART0578,Scale AI Acquires Competitor for Undisclosed Sum,Scale AI,18-08-2022,AI_ML,500000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/578,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium,[]
ART0515,Scale AI Acquires Competitor for Undisclosed Sum,Scale AI,13-09-2023,Cloud_Computing,735000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/515,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,[]
ART0709,Scale AI Acquires Competitor for Undisclosed Sum,Scale AI,25-05-2024,Cybersecurity,1026000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/709,AI/ML,2003,"Berlin, Germany",23379,False,,21,Medium,[]
ART0370,Scale AI Unveils Next-Generation Platform,Scale AI,25-12-2022,Cybersecurity,570000000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/370,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium,[]
ART0608,Scale AI CEO Discusses Future of AI,Scale AI,24-11-2023,Cybersecurity,760000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/608,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,[]
ART0359,Scale AI Raises Series D Funding Round,Scale AI,10-07-2022,Data_Analytics,500000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/359,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium,[]
ART0678,Scale AI Reports Record Revenue Growth,Scale AI,13-04-2024,Data_Analytics,1026000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/678,AI/ML,2003,"Berlin, Germany",23379,False,,21,Medium,[]
ART0274,Scale AI Expands into European Market,Scale AI,17-05-2022,Data_Analytics,430000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/274,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium,[]
ART0350,Scale AI Reports Record Revenue Growth,Scale AI,18-10-2023,FinTech,760000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/350,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,[]
ART0550,Scale AI Faces Regulatory Scrutiny,Scale AI,15-08-2023,FinTech,735000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/550,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,[]
ART0642,Scale AI CEO Discusses Future of AI,Scale AI,10-10-2024,SaaS,1307000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/642,AI/ML,2003,"Berlin, Germany",23379,False,,21,Medium,[]
ART0669,Snowflake Announces Breakthrough in Large Language Models,Snowflake,08-07-2024,AI_ML,3388000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/669,Cloud Computing,2012,"London, UK",49545,True,,12,Large,[]
ART0562,Snowflake Inc. Achieves Profitability Milestone,Snowflake,16-11-2024,AI_ML,3612000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/562,Cloud Computing,2012,"London, UK",49545,True,,12,Large,[]
ART0268,Snowflake Expands into European Market,Snowflake,03-10-2022,AI_ML,2180000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/268,Cloud Computing,2012,"London, UK",49545,True,,10,Large,[]
ART0508,Snowflake Announces Breakthrough in Large Language Models,Snowflake,16-08-2024,AI_ML,3388000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/508,Cloud Computing,2012,"London, UK",49545,True,,12,Large,[]
ART0228,SpaceX Raises Series D Funding Round,SpaceX,17-07-2022,AI_ML,6100000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/228,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large,[]
ART0120,SpaceX Achieves Profitability Milestone,SpaceX,29-06-2023,AI_ML,7600000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/120,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0519,SpaceX Partners with Major Enterprise Client,SpaceX,04-05-2024,AI_ML,9180000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/519,AI/ML,2016,"Berlin, Germany",31018,False,,8,Large,[]
ART0040,SpaceX CEO Discusses Future of AI,SpaceX,11-04-2023,AI_ML,7600000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/40,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0645,SpaceX Raises Series D Funding Round,SpaceX,21-06-2023,AI_ML,7600000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/645,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0552,SpaceX Releases Open Source Framework,SpaceX,06-08-2024,AI_ML,9520000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/552,AI/ML,2016,"Berlin, Germany",31018,False,,8,Large,[]
ART0611,SpaceX Partners with Major Enterprise Client,SpaceX,09-01-2024,Cloud_Computing,9520000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/611,AI/ML,2016,"Berlin, Germany",31018,False,,8,Large,[]
ART0222,SpaceX Faces Regulatory Scrutiny,SpaceX,07-11-2023,Cloud_Computing,8500000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/222,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0033,SpaceX Achieves Profitability Milestone,SpaceX,15-02-2022,Cloud_Computing,5000000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/33,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large,[]
ART0060,SpaceX Raises Series D Funding Round,SpaceX,20-01-2023,Cloud_Computing,7000000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/60,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0493,SpaceX Achieves Profitability Milestone,SpaceX,13-01-2023,Cybersecurity,7000000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/493,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0713,SpaceX Launches New AI-Powered Product,SpaceX,23-01-2023,Cybersecurity,7000000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/713,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0663,The Boring Company / SpaceX Partners with Major Enterprise Client,SpaceX,22-12-2023,Data_Analytics,8500000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/663,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0581,SpaceX Announces Breakthrough in Large Language Models,SpaceX,16-09-2024,Data_Analytics,9520000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/581,AI/ML,2016,"Berlin, Germany",31018,False,,8,Large,[]
ART0258,SpaceX Unveils Next-Generation Platform,SpaceX,08-02-2023,Enterprise_Software,7000000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/258,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0734,The Boring Company / SpaceX Releases Open Source Framework,SpaceX,12-12-2024,FinTech,9945000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/734,AI/ML,2016,"Berlin, Germany",31018,False,,8,Large,[]
ART0743,SpaceX Expands into European Market,SpaceX,22-10-2024,FinTech,9945000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/743,AI/ML,2016,"Berlin, Germany",31018,False,,8,Large,[]
ART0121,SpaceX Announces Breakthrough in Large Language Models,SpaceX,13-06-2023,FinTech,7600000000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/121,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,[]
ART0168,SpaceX Releases Open Source Framework,SpaceX,15-02-2022,FinTech,5000000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/168,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large,[]
ART0589,The Boring Company / SpaceX Raises Series D Funding Round,SpaceX,14-11-2024,SaaS,9945000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/589,AI/ML,2016,"Berlin, Germany",31018,False,,8,Large,[]
ART0680,SpaceX Announces Breakthrough in Large Language Models,SpaceX,17-02-2024,SaaS,8925000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/680,AI/ML,2016,"Berlin, Germany",31018,False,,8,Large,[]
ART0257,Stripe Faces Regulatory Scrutiny,Stripe,10-06-2023,AI_ML,2600000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/257,Data Analytics,2002,"Seattle, WA",36348,True,STRI,21,Large,[]
ART0720,Stripe Partners with Major Enterprise Client,Stripe,28-07-2024,AI_ML,3774000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/720,Data Analytics,2002,"Seattle, WA",36348,True,STRI,22,Large,[]
