company_id,observation_year,observation_quarter,observations_count,latest_arr_usd_M,avg_arr_usd_M,max_arr_usd_M,min_arr_usd_M,company_name,industry
COMP007,2020,4,1,190,190.0,190,190,DataRobot,Cloud Computing
COMP007,2021,1,1,220,220.0,220,220,DataRobot,Cloud Computing
COMP007,2021,2,1,245,245.0,245,245,DataRobot,Cloud Computing
COMP007,2021,4,1,275,275.0,275,275,DataRobot,Cloud Computing
COMP007,2022,1,1,300,300.0,300,300,DataRobot,Cloud Computing
COMP007,2022,2,1,315,315.0,315,315,DataRobot,Cloud Computing
COMP007,2022,3,1,305,305.0,305,305,DataRobot,Cloud Computing
COMP007,2022,4,2,295,295.0,295,295,DataRobot,Cloud Computing
COMP007,2023,1,2,310,310.0,310,310,DataRobot,Cloud Computing
COMP007,2023,3,1,355,355.0,355,355,DataRobot,Cloud Computing
COMP007,2023,4,1,380,380.0,380,380,DataRobot,Cloud Computing
COMP007,2024,2,3,388,391.7,399,388,DataRobot,Cloud Computing
COMP007,2024,3,4,399,393.5,399,388,DataRobot,Cloud Computing
COMP007,2024,4,2,407,407.0,407,407,DataRobot,Cloud Computing
COMP008,2020,2,1,420,420.0,420,420,Databricks,Data Analytics
COMP008,2020,3,1,500,500.0,500,500,Databricks,Data Analytics
COMP008,2021,1,1,740,740.0,740,740,Databricks,Data Analytics
COMP008,2021,2,1,900,900.0,900,900,Databricks,Data Analytics
COMP008,2021,4,1,1180,1180.0,1180,1180,Databricks,Data Analytics
COMP008,2022,3,1,1700,1700.0,1700,1700,Databricks,Data Analytics
COMP008,2023,2,2,2150,2150.0,2150,2150,Databricks,Data Analytics
COMP008,2023,4,2,2400,2400.0,2400,2400,Databricks,Data Analytics
COMP008,2024,1,1,2640,2640.0,2640,2640,Databricks,Data Analytics
COMP008,2024,2,1,2904,2904.0,2904,2904,Databricks,Data Analytics
COMP008,2024,3,3,3168,3168.0,3168,3168,Databricks,Data Analytics
COMP008,2024,4,4,3480,3480.0,3480,3480,Databricks,Data Analytics
COMP009,2020,1,1,610,610.0,610,610,Elastic,Cybersecurity
COMP009,2020,2,1,660,660.0,660,660,Elastic,Cybersecurity
COMP009,2020,3,1,700,700.0,700,700,Elastic,Cybersecurity
COMP009,2021,1,1,820,820.0,820,820,Elastic,Cybersecurity
COMP009,2021,2,1,890,890.0,890,890,Elastic,Cybersecurity
COMP009,2021,3,1,930,930.0,930,930,Elastic,Cybersecurity
COMP009,2022,1,3,1010,1010.0,1010,1010,Elastic,Cybersecurity
COMP009,2022,3,2,1030,1030.0,1030,1030,Elastic,Cybersecurity
COMP009,2023,1,1,1100,1100.0,1100,1100,Elastic,Cybersecurity
COMP009,2023,2,1,1160,1160.0,1160,1160,Elastic,Cybersecurity
COMP009,2023,3,2,1200,1200.0,1200,1200,Elastic,Cybersecurity
COMP009,2023,4,4,1250,1250.0,1250,1250,Elastic,Cybersecurity
COMP009,2024,2,4,1350,1350.0,1350,1350,Elastic,Cybersecurity
COMP009,2024,3,1,1400,1400.0,1400,1400,Elastic,Cybersecurity
COMP010,2020,2,1,120,120.0,120,120,Google DeepMind,Data Analytics
COMP010,2020,3,2,145,145.0,145,145,Google DeepMind,Data Analytics
COMP010,2020,4,3,175,175.0,175,175,Google DeepMind,Data Analytics
COMP010,2021,3,1,340,340.0,340,340,Google DeepMind,Data Analytics
COMP010,2021,4,2,410,410.0,410,410,Google DeepMind,Data Analytics
COMP010,2022,2,2,610,610.0,610,610,Google DeepMind,Data Analytics
COMP010,2022,3,2,710,710.0,710,710,Google DeepMind,Data Analytics
COMP010,2023,1,2,830,830.0,830,830,Google DeepMind,Data Analytics
COMP010,2023,3,1,880,880.0,880,880,Google DeepMind,Data Analytics
COMP010,2023,4,4,900,900.0,900,900,Google DeepMind,Data Analytics
COMP010,2024,2,3,1044,1044.0,1044,1044,Google DeepMind,Data Analytics
COMP010,2024,4,3,1215,1215.0,1215,1215,Google DeepMind,Data Analytics
COMP011,2023,2,1,56,56.0,56,56,Hugging Face,
COMP011,2024,2,1,82,82.0,82,82,Hugging Face,
COMP012,2020,1,1,130,130.0,130,130,Meta AI,Data Analytics
COMP012,2020,2,2,145,145.0,145,145,Meta AI,Data Analytics
COMP012,2020,3,1,165,165.0,165,165,Meta AI,Data Analytics
COMP012,2020,4,1,190,190.0,190,190,Meta AI,Data Analytics
COMP012,2022,1,2,700,700.0,700,700,Meta AI,Data Analytics
COMP012,2022,3,1,1130,1130.0,1130,1130,Meta AI,Data Analytics
COMP012,2022,4,1,1130,1130.0,1130,1130,Meta AI,Data Analytics
COMP012,2023,1,3,1200,1200.0,1200,1200,Meta AI,Data Analytics
COMP012,2023,3,3,1400,1400.0,1400,1400,Meta AI,Data Analytics
COMP012,2023,4,2,1500,1500.0,1500,1500,Meta AI,Data Analytics
COMP012,2024,1,3,1830,1690.0,1830,1620,Meta AI,Data Analytics
COMP012,2024,2,3,1725,1725.0,1725,1725,Meta AI,Data Analytics
COMP012,2024,3,2,1725,1777.5,1830,1725,Meta AI,Data Analytics
COMP012,2024,4,2,1950,1950.0,1950,1950,Meta AI,Data Analytics
COMP013,2020,3,2,44500,44500.0,44500,44500,Microsoft,Data Analytics
COMP013,2021,2,3,52500,52500.0,52500,52500,Microsoft,Data Analytics
COMP013,2021,3,2,55000,55000.0,55000,55000,Microsoft,Data Analytics
COMP013,2021,4,1,52500,52500.0,52500,52500,Microsoft,Data Analytics
COMP013,2022,1,1,61000,61000.0,61000,61000,Microsoft,Data Analytics
COMP013,2022,2,1,64000,64000.0,64000,64000,Microsoft,Data Analytics
COMP013,2022,3,1,61000,61000.0,61000,61000,Microsoft,Data Analytics
COMP013,2022,4,2,68500,68500.0,68500,68500,Microsoft,Data Analytics
COMP013,2023,1,3,71000,72600.0,75800,71000,Microsoft,Data Analytics
COMP013,2023,3,1,75800,75800.0,75800,75800,Microsoft,Data Analytics
COMP013,2023,4,4,78000,76875.0,78000,73500,Microsoft,Data Analytics
COMP013,2024,1,3,79170,79170.0,79170,79170,Microsoft,Data Analytics
COMP013,2024,2,1,80730,80730.0,80730,80730,Microsoft,Data Analytics
COMP013,2024,3,3,82290,82290.0,82290,82290,Microsoft,Data Analytics
COMP013,2024,4,2,83850,83850.0,83850,83850,Microsoft,Data Analytics
COMP014,2023,2,1,92,92.0,92,92,Mistral AI,
COMP014,2024,1,2,95,95.0,95,95,Mistral AI,
COMP014,2024,4,2,260,260.0,260,260,Mistral AI,
COMP015,2020,1,1,500,500.0,500,500,MongoDB,SaaS
COMP015,2020,2,1,540,540.0,540,540,MongoDB,SaaS
COMP015,2020,3,1,590,590.0,590,590,MongoDB,SaaS
COMP015,2020,4,1,650,650.0,650,650,MongoDB,SaaS
COMP015,2021,1,1,720,720.0,720,720,MongoDB,SaaS
COMP015,2021,3,1,990,990.0,990,990,MongoDB,SaaS
COMP015,2021,4,1,990,990.0,990,990,MongoDB,SaaS
COMP015,2022,1,2,1080,1080.0,1080,1080,MongoDB,SaaS
COMP015,2022,2,3,1380,1246.7,1380,1180,MongoDB,SaaS
COMP015,2022,4,4,1380,1305.0,1380,1080,MongoDB,SaaS
COMP015,2023,1,1,1480,1480.0,1480,1480,MongoDB,SaaS
COMP015,2023,2,2,1560,1560.0,1560,1560,MongoDB,SaaS
COMP015,2023,3,2,1640,1560.0,1640,1480,MongoDB,SaaS
COMP015,2023,4,4,1700,1700.0,1700,1700,MongoDB,SaaS
COMP015,2024,1,2,1870,1827.5,1870,1785,MongoDB,SaaS
COMP015,2024,2,3,1870,1841.7,1870,1785,MongoDB,SaaS
COMP015,2024,4,1,2057,2057.0,2057,2057,MongoDB,SaaS
COMP016,2020,2,1,11200,11200.0,11200,11200,NVIDIA,AI/ML
COMP016,2020,4,3,12600,12600.0,12600,12600,NVIDIA,AI/ML
COMP016,2021,2,2,15000,15000.0,15000,15000,NVIDIA,AI/ML
COMP016,2021,3,1,16000,16000.0,16000,16000,NVIDIA,AI/ML
COMP016,2021,4,1,16800,16800.0,16800,16800,NVIDIA,AI/ML
COMP016,2022,1,1,17500,17500.0,17500,17500,NVIDIA,AI/ML
COMP016,2022,2,1,17800,17800.0,17800,17800,NVIDIA,AI/ML
COMP016,2022,3,1,17800,17800.0,17800,17800,NVIDIA,AI/ML
COMP016,2023,2,1,36000,36000.0,36000,36000,NVIDIA,AI/ML
COMP016,2023,3,3,40500,40500.0,40500,40500,NVIDIA,AI/ML
COMP016,2023,4,1,45000,45000.0,45000,45000,NVIDIA,AI/ML
COMP016,2024,1,1,49500,49500.0,49500,49500,NVIDIA,AI/ML
COMP016,2024,2,3,54000,54000.0,54000,54000,NVIDIA,AI/ML
COMP016,2024,3,5,58500,59220.0,62100,58500,NVIDIA,AI/ML
COMP016,2024,4,1,62100,62100.0,62100,62100,NVIDIA,AI/ML
COMP017,2020,3,1,75,75.0,75,75,OpenAI,Data Analytics
COMP017,2020,4,3,95,95.0,95,95,OpenAI,Data Analytics
COMP017,2021,1,2,130,130.0,130,130,OpenAI,Data Analytics
COMP017,2021,2,1,180,180.0,180,180,OpenAI,Data Analytics
COMP017,2021,3,1,240,240.0,240,240,OpenAI,Data Analytics
COMP017,2021,4,2,320,320.0,320,320,OpenAI,Data Analytics
COMP017,2023,2,1,1600,1600.0,1600,1600,OpenAI,Data Analytics
COMP017,2023,3,3,1720,1630.0,1720,1450,OpenAI,Data Analytics
COMP017,2023,4,1,1800,1800.0,1800,1800,OpenAI,Data Analytics
COMP017,2024,1,2,2250,2250.0,2250,2250,OpenAI,Data Analytics
COMP017,2024,2,2,2790,2790.0,2790,2790,OpenAI,Data Analytics
COMP017,2024,3,3,3420,3420.0,3420,3420,OpenAI,Data Analytics
COMP017,2024,4,2,4050,4050.0,4050,4050,OpenAI,Data Analytics
COMP018,2020,2,2,1030,1030.0,1030,1030,Palantir,Cloud Computing
COMP018,2020,3,1,1080,1080.0,1080,1080,Palantir,Cloud Computing
COMP018,2020,4,2,1120,1120.0,1120,1120,Palantir,Cloud Computing
COMP018,2021,1,2,1180,1180.0,1180,1180,Palantir,Cloud Computing
COMP018,2021,3,1,1320,1320.0,1320,1320,Palantir,Cloud Computing
COMP018,2022,1,1,1460,1460.0,1460,1460,Palantir,Cloud Computing
COMP018,2022,2,3,1550,1550.0,1550,1550,Palantir,Cloud Computing
COMP018,2022,4,3,1700,1700.0,1700,1700,Palantir,Cloud Computing
COMP018,2023,1,1,1800,1800.0,1800,1800,Palantir,Cloud Computing
COMP018,2023,2,1,1920,1920.0,1920,1920,Palantir,Cloud Computing
COMP018,2023,3,3,2100,2100.0,2100,2100,Palantir,Cloud Computing
COMP018,2024,1,1,2392,2392.0,2392,2392,Palantir,Cloud Computing
COMP018,2024,2,2,2484,2438.0,2484,2392,Palantir,Cloud Computing
COMP018,2024,3,2,2576,2576.0,2576,2576,Palantir,Cloud Computing
COMP018,2024,4,1,2691,2691.0,2691,2691,Palantir,Cloud Computing
COMP019,2024,1,1,35,35.0,35,35,Perplexity AI,
COMP019,2024,3,2,85,85.0,85,85,Perplexity AI,
COMP020,2020,1,2,100,100.0,100,100,Scale AI,AI/ML
COMP020,2020,3,2,135,135.0,135,135,Scale AI,AI/ML
COMP020,2020,4,1,160,160.0,160,160,Scale AI,AI/ML
COMP020,2021,1,2,305,257.5,305,210,Scale AI,AI/ML
COMP020,2021,2,2,260,260.0,260,260,Scale AI,AI/ML
COMP020,2021,4,3,340,340.0,340,340,Scale AI,AI/ML
COMP020,2022,2,1,430,430.0,430,430,Scale AI,AI/ML
COMP020,2022,3,2,500,500.0,500,500,Scale AI,AI/ML
COMP020,2022,4,3,570,570.0,570,570,Scale AI,AI/ML
COMP020,2023,3,3,735,735.0,735,735,Scale AI,AI/ML
COMP020,2023,4,4,760,760.0,760,760,Scale AI,AI/ML
COMP020,2024,1,1,897,897.0,897,897,Scale AI,AI/ML
COMP020,2024,2,2,1026,1026.0,1026,1026,Scale AI,AI/ML
COMP020,2024,4,1,1307,1307.0,1307,1307,Scale AI,AI/ML
COMP021,2020,1,1,850,850.0,850,850,Snowflake,Cloud Computing
COMP021,2020,2,2,620,620.0,620,620,Snowflake,Cloud Computing
COMP021,2020,3,2,730,730.0,730,730,Snowflake,Cloud Computing
COMP021,2021,1,1,1000,1000.0,1000,1000,Snowflake,Cloud Computing
COMP021,2021,4,1,1530,1530.0,1530,1530,Snowflake,Cloud Computing
COMP021,2022,3,2,2050,2050.0,2050,2050,Snowflake,Cloud Computing
COMP021,2022,4,1,2180,2180.0,2180,2180,Snowflake,Cloud Computing
COMP021,2023,1,2,2350,2350.0,2350,2350,Snowflake,Cloud Computing
COMP021,2023,2,3,2520,2520.0,2520,2520,Snowflake,Cloud Computing
COMP021,2023,4,1,2800,2800.0,2800,2800,Snowflake,Cloud Computing
COMP021,2024,2,1,3192,3192.0,3192,3192,Snowflake,Cloud Computing
COMP021,2024,3,5,3388,3388.0,3388,3388,Snowflake,Cloud Computing
COMP021,2024,4,2,3612,3612.0,3612,3612,Snowflake,Cloud Computing
COMP022,2020,2,1,2100,2100.0,2100,2100,SpaceX,AI/ML
COMP022,2020,4,1,2600,2600.0,2600,2600,SpaceX,AI/ML
COMP022,2021,1,1,4300,4300.0,4300,4300,SpaceX,AI/ML
COMP022,2021,2,1,3450,3450.0,3450,3450,SpaceX,AI/ML
COMP022,2021,3,2,3900,3900.0,3900,3900,SpaceX,AI/ML
COMP022,2021,4,2,4300,3650.0,4300,3000,SpaceX,AI/ML
COMP022,2022,1,2,5000,5000.0,5000,5000,SpaceX,AI/ML
COMP022,2022,3,1,6100,6100.0,6100,6100,SpaceX,AI/ML
COMP022,2023,1,4,7000,7000.0,7000,7000,SpaceX,AI/ML
COMP022,2023,2,4,7600,7600.0,7600,7600,SpaceX,AI/ML
COMP022,2023,4,2,8500,8500.0,8500,8500,SpaceX,AI/ML
COMP022,2024,1,2,8925,9222.5,9520,8925,SpaceX,AI/ML
COMP022,2024,2,1,9180,9180.0,9180,9180,SpaceX,AI/ML
COMP022,2024,3,2,9520,9520.0,9520,9520,SpaceX,AI/ML
COMP022,2024,4,3,9945,9945.0,9945,9945,SpaceX,AI/ML
COMP023,2020,1,2,720,720.0,720,720,Stripe,Data Analytics
COMP023,2020,2,1,780,780.0,780,780,Stripe,Data Analytics
COMP023,2021,1,1,1050,1050.0,1050,1050,Stripe,Data Analytics
COMP023,2021,2,1,1380,1380.0,1380,1380,Stripe,Data Analytics
COMP023,2021,3,1,1380,1380.0,1380,1380,Stripe,Data Analytics
COMP023,2021,4,2,1550,1550.0,1550,1550,Stripe,Data Analytics
COMP023,2022,1,1,1700,1700.0,1700,1700,Stripe,Data Analytics
COMP023,2022,2,3,1820,1820.0,1820,1820,Stripe,Data Analytics
COMP023,2022,3,1,1900,1900.0,1900,1900,Stripe,Data Analytics
COMP023,2022,4,1,2050,2050.0,2050,2050,Stripe,Data Analytics
COMP023,2023,1,3,2300,2300.0,2300,2300,Stripe,Data Analytics
COMP023,2023,2,2,2600,2600.0,2600,2600,Stripe,Data Analytics
COMP023,2023,3,1,2950,2950.0,2950,2950,Stripe,Data Analytics
COMP023,2024,1,1,3536,3536.0,3536,3536,Stripe,Data Analytics
COMP023,2024,2,2,3774,3723.0,3774,3672,Stripe,Data Analytics
COMP023,2024,3,2,3774,3774.0,3774,3774,Stripe,Data Analytics
COMP023,2024,4,2,3910,3910.0,3910,3910,Stripe,Data Analytics
COMP024,2020,2,1,24500,24500.0,24500,24500,Tesla,Cloud Computing
COMP024,2020,3,2,25200,25200.0,25200,25200,Tesla,Cloud Computing
COMP024,2020,4,2,26000,26000.0,26000,26000,Tesla,Cloud Computing
COMP024,2021,1,3,31000,31000.0,31000,31000,Tesla,Cloud Computing
COMP024,2021,2,1,38000,38000.0,38000,38000,Tesla,Cloud Computing
COMP024,2021,4,1,54000,54000.0,54000,54000,Tesla,Cloud Computing
COMP024,2022,4,1,75000,75000.0,75000,75000,Tesla,Cloud Computing
COMP024,2023,1,4,82000,82000.0,82000,82000,Tesla,Cloud Computing
COMP024,2023,2,2,82000,86000.0,90000,82000,Tesla,Cloud Computing
COMP024,2023,3,1,94000,94000.0,94000,94000,Tesla,Cloud Computing
COMP024,2023,4,1,96000,96000.0,96000,96000,Tesla,Cloud Computing
COMP024,2024,1,2,95040,95040.0,95040,95040,Tesla,Cloud Computing
COMP024,2024,2,1,96960,96960.0,96960,96960,Tesla,Cloud Computing
COMP024,2024,3,2,98880,98880.0,98880,98880,Tesla,Cloud Computing
COMP025,2020,2,1,10200,10200.0,10200,10200,Uber,FinTech
COMP025,2021,2,4,14500,14500.0,14500,14500,Uber,FinTech
COMP025,2021,4,1,17000,17000.0,17000,17000,Uber,FinTech
COMP025,2022,4,3,25000,25000.0,25000,25000,Uber,FinTech
COMP025,2023,3,1,32000,32000.0,32000,32000,Uber,FinTech
COMP025,2023,4,1,34000,34000.0,34000,34000,Uber,FinTech
COMP025,2024,1,3,35360,34906.7,35360,34680,Uber,FinTech
COMP025,2024,2,1,35360,35360.0,35360,35360,Uber,FinTech
COMP025,2024,3,1,37400,37400.0,37400,37400,Uber,FinTech
COMP025,2024,4,3,36380,37060.0,37400,36380,Uber,FinTech
COMP026,2024,1,1,20,20.0,20,20,xAI,
COMP026,2024,2,1,50,50.0,50,50,xAI,
COMP026,2024,3,1,180,180.0,180,180,xAI,
COMP026,2024,4,1,180,180.0,180,180,xAI,
