observation_id,article_id,company_id,observation_date,observation_year,observation_quarter,observation_year_month,arr_usd_M,arr_usd
ARR0086,ART0551,COMP004,23-02-2024,2024,1,2024-02,1431,1431000000
ARR0087,ART0580,COMP004,15-05-2023,2023,2,2023-05,1180,1180000000
ARR0088,ART0377,COMP004,06-05-2023,2023,2,2023-05,1180,1180000000
ARR0089,ART0726,COMP004,06-03-2024,2024,1,2024-03,1431,1431000000
ARR0090,ART0181,COMP004,14-01-2020,2020,1,2020-01,390,390000000
ARR0091,ART0712,COMP004,03-11-2024,2024,4,2024-11,1647,1647000000
ARR0092,ART0184,COMP004,13-08-2023,2023,3,2023-08,1260,1260000000
ARR0093,ART0653,COMP004,18-04-2024,2024,2,2024-04,1499,1499000000
ARR0094,ART0368,COMP004,19-01-2020,2020,1,2020-01,390,390000000
ARR0095,ART0692,COMP005,10-06-2024,2024,2,2024-06,105,105000000
ARR0096,ART0536,COMP005,05-11-2023,2023,4,2023-11,116,116000000
ARR0097,ART0595,COMP005,04-09-2022,2022,3,2022-09,47,47000000
ARR0098,ART0750,COMP005,15-07-2024,2024,3,2024-07,135,135000000
ARR0099,ART0604,COMP005,09-06-2024,2024,2,2024-06,135,135000000
ARR0100,ART0518,COMP005,23-09-2023,2023,3,2023-09,92,92000000
ARR0101,ART0243,COMP006,19-03-2022,2022,1,2022-03,600,600000000
ARR0102,ART0014,COMP006,15-01-2020,2020,1,2020-01,260,260000000
ARR0103,ART0686,COMP006,14-01-2023,2023,1,2023-01,790,790000000
ARR0104,ART0004,COMP006,13-12-2023,2023,4,2023-12,980,980000000
ARR0105,ART0242,COMP006,14-06-2021,2021,2,2021-06,455,455000000
ARR0106,ART0483,COMP006,08-05-2022,2022,2,2022-05,655,655000000
ARR0107,ART0209,COMP006,27-03-2021,2021,1,2021-03,390,390000000
ARR0108,ART0204,COMP006,03-07-2022,2022,3,2022-07,600,600000000
ARR0109,ART0237,COMP006,07-05-2020,2020,2,2020-05,285,285000000
ARR0110,ART0327,COMP006,09-04-2022,2022,2,2022-04,655,655000000
ARR0111,ART0525,COMP006,15-04-2023,2023,2,2023-04,860,860000000
ARR0112,ART0584,COMP006,13-03-2024,2024,1,2024-03,1019,1019000000
ARR0113,ART0747,COMP006,26-01-2022,2022,1,2022-01,600,600000000
ARR0114,ART0555,COMP006,27-10-2024,2024,4,2024-10,1156,1156000000
ARR0115,ART0046,COMP006,07-02-2022,2022,1,2022-02,600,600000000
ARR0116,ART0230,COMP006,06-06-2020,2020,2,2020-06,285,285000000
ARR0117,ART0488,COMP006,11-03-2023,2023,1,2023-03,980,980000000
ARR0118,ART0277,COMP006,17-03-2023,2023,1,2023-03,790,790000000
ARR0119,ART0199,COMP006,19-10-2023,2023,4,2023-10,980,980000000
ARR0120,ART0130,COMP006,20-12-2022,2022,4,2022-12,735,735000000
ARR0121,ART0262,COMP006,02-07-2023,2023,3,2023-07,790,790000000
ARR0122,ART0192,COMP006,13-12-2020,2020,4,2020-12,340,340000000
ARR0123,ART0019,COMP006,15-01-2023,2023,1,2023-01,790,790000000
ARR0124,ART0324,COMP006,04-03-2023,2023,1,2023-03,790,790000000
ARR0125,ART0096,COMP006,28-05-2022,2022,2,2022-05,655,655000000
ARR0126,ART0420,COMP006,29-12-2020,2020,4,2020-12,340,340000000
ARR0127,ART0651,COMP006,10-04-2024,2024,2,2024-04,1156,1156000000
ARR0128,ART0615,COMP006,04-02-2023,2023,1,2023-02,790,790000000
ARR0129,ART0391,COMP006,22-04-2021,2021,2,2021-04,455,455000000
ARR0130,ART0335,COMP006,24-04-2020,2020,2,2020-04,285,285000000
ARR0131,ART0177,COMP006,25-10-2020,2020,4,2020-10,340,340000000
ARR0132,ART0718,COMP006,16-02-2024,2024,1,2024-02,1019,1019000000
ARR0133,ART0357,COMP006,25-03-2023,2023,1,2023-03,790,790000000
ARR0134,ART0566,COMP007,09-03-2023,2023,1,2023-03,310,310000000
ARR0135,ART0189,COMP007,19-05-2021,2021,2,2021-05,245,245000000
ARR0136,ART0460,COMP007,06-09-2020,2020,3,2020-09,170,170000000
ARR0137,ART0371,COMP007,19-01-2021,2021,1,2021-01,220,220000000
ARR0138,ART0338,COMP007,29-12-2020,2020,4,2020-12,190,190000000
ARR0139,ART0629,COMP007,21-05-2024,2024,2,2024-05,388,388000000
ARR0140,ART0137,COMP007,10-07-2020,2020,3,2020-07,170,170000000
ARR0141,ART0212,COMP007,26-05-2022,2022,2,2022-05,315,315000000
ARR0142,ART0594,COMP007,09-10-2024,2024,4,2024-10,407,407000000
ARR0143,ART0731,COMP007,04-07-2024,2024,3,2024-07,399,399000000
ARR0144,ART0569,COMP007,09-05-2024,2024,2,2024-05,399,399000000
ARR0145,ART0728,COMP007,04-08-2024,2024,3,2024-08,388,388000000
ARR0146,ART0034,COMP007,21-10-2021,2021,4,2021-10,275,275000000
ARR0147,ART0667,COMP007,04-08-2024,2024,3,2024-08,388,388000000
ARR0148,ART0020,COMP007,14-10-2023,2023,4,2023-10,380,380000000
ARR0149,ART0337,COMP007,20-05-2020,2020,2,2020-05,150,150000000
ARR0150,ART0002,COMP007,23-02-2023,2023,1,2023-02,310,310000000
ARR0151,ART0022,COMP007,23-07-2020,2020,3,2020-07,170,170000000
ARR0152,ART0533,COMP007,07-09-2024,2024,3,2024-09,399,399000000
ARR0153,ART0655,COMP007,12-12-2024,2024,4,2024-12,407,407000000
ARR0154,ART0041,COMP007,26-09-2022,2022,3,2022-09,305,305000000
ARR0155,ART0346,COMP007,22-11-2022,2022,4,2022-11,295,295000000
ARR0156,ART0078,COMP007,14-10-2022,2022,4,2022-10,295,295000000
ARR0157,ART0506,COMP007,05-05-2024,2024,2,2024-05,388,388000000
ARR0158,ART0299,COMP007,29-07-2023,2023,3,2023-07,355,355000000
ARR0159,ART0345,COMP007,26-02-2022,2022,1,2022-02,300,300000000
ARR0160,ART0638,COMP008,21-07-2024,2024,3,2024-07,3168,3168000000
ARR0161,ART0738,COMP008,25-02-2024,2024,1,2024-02,2640,2640000000
ARR0162,ART0542,COMP008,03-07-2024,2024,3,2024-07,3168,3168000000
ARR0163,ART0477,COMP008,31-01-2021,2021,1,2021-01,740,740000000
ARR0164,ART0453,COMP008,16-08-2020,2020,3,2020-08,500,500000000
ARR0165,ART0603,COMP008,16-10-2024,2024,4,2024-10,3480,3480000000
ARR0166,ART0643,COMP008,05-09-2022,2022,3,2022-09,1700,1700000000
ARR0167,ART0293,COMP008,13-11-2023,2023,4,2023-11,2400,2400000000
ARR0168,ART0347,COMP008,24-12-2021,2021,4,2021-12,1180,1180000000
ARR0169,ART0561,COMP008,11-12-2024,2024,4,2024-12,3480,3480000000
ARR0170,ART0576,COMP008,21-04-2024,2024,2,2024-04,2904,2904000000
ARR0171,ART0021,COMP008,03-10-2023,2023,4,2023-10,2400,2400000000
ARR0172,ART0404,COMP008,07-05-2023,2023,2,2023-05,2150,2150000000
ARR0173,ART0024,COMP008,23-05-2023,2023,2,2023-05,2150,2150000000
ARR0174,ART0128,COMP008,27-04-2020,2020,2,2020-04,420,420000000
ARR0175,ART0676,COMP008,02-10-2024,2024,4,2024-10,3480,3480000000
ARR0176,ART0512,COMP008,19-08-2024,2024,3,2024-08,3168,3168000000
ARR0177,ART0716,COMP008,26-12-2024,2024,4,2024-12,3480,3480000000
ARR0178,ART0352,COMP008,14-04-2021,2021,2,2021-04,900,900000000
ARR0179,ART0210,COMP009,19-08-2020,2020,3,2020-08,700,700000000
ARR0180,ART0122,COMP009,10-03-2022,2022,1,2022-03,1010,1010000000
ARR0181,ART0727,COMP009,18-07-2022,2022,3,2022-07,1030,1030000000
ARR0182,ART0628,COMP009,27-12-2023,2023,4,2023-12,1250,1250000000
ARR0183,ART0387,COMP009,17-02-2023,2023,1,2023-02,1100,1100000000
ARR0184,ART0698,COMP009,26-08-2024,2024,3,2024-08,1400,1400000000
ARR0185,ART0496,COMP009,08-01-2021,2021,1,2021-01,820,820000000
ARR0186,ART0505,COMP009,03-04-2024,2024,2,2024-04,1350,1350000000
ARR0187,ART0321,COMP009,23-06-2020,2020,2,2020-06,660,660000000
ARR0188,ART0664,COMP009,25-04-2024,2024,2,2024-04,1350,1350000000
ARR0189,ART0131,COMP009,20-06-2021,2021,2,2021-06,890,890000000
ARR0190,ART0396,COMP009,26-09-2022,2022,3,2022-09,1030,1030000000
ARR0191,ART0532,COMP009,26-05-2024,2024,2,2024-05,1350,1350000000
ARR0192,ART0427,COMP009,08-02-2020,2020,1,2020-02,610,610000000
ARR0193,ART0593,COMP009,26-06-2024,2024,2,2024-06,1350,1350000000
ARR0194,ART0198,COMP009,06-01-2022,2022,1,2022-01,1010,1010000000
ARR0195,ART0232,COMP009,04-09-2023,2023,3,2023-09,1200,1200000000
ARR0196,ART0568,COMP009,15-11-2023,2023,4,2023-11,1250,1250000000
ARR0197,ART0320,COMP009,22-07-2023,2023,3,2023-07,1200,1200000000
ARR0198,ART0200,COMP009,09-11-2023,2023,4,2023-11,1250,1250000000
ARR0199,ART0144,COMP009,12-01-2022,2022,1,2022-01,1010,1010000000
ARR0200,ART0147,COMP009,22-12-2023,2023,4,2023-12,1250,1250000000
ARR0201,ART0023,COMP009,11-09-2021,2021,3,2021-09,930,930000000
ARR0202,ART0303,COMP009,13-04-2023,2023,2,2023-04,1160,1160000000
ARR0203,ART0614,COMP010,19-12-2024,2024,4,2024-12,1215,1215000000
ARR0204,ART0073,COMP010,20-07-2020,2020,3,2020-07,145,145000000
ARR0205,ART0573,COMP010,10-10-2023,2023,4,2023-10,900,900000000
ARR0206,ART0609,COMP010,27-05-2024,2024,2,2024-05,1044,1044000000
ARR0207,ART0383,COMP010,22-09-2020,2020,3,2020-09,145,145000000
ARR0208,ART0600,COMP010,27-08-2022,2022,3,2022-08,710,710000000
ARR0209,ART0264,COMP010,10-06-2022,2022,2,2022-06,610,610000000
ARR0210,ART0681,COMP010,06-05-2024,2024,2,2024-05,1044,1044000000
ARR0211,ART0326,COMP010,13-10-2020,2020,4,2020-10,175,175000000
ARR0212,ART0091,COMP010,21-10-2021,2021,4,2021-10,410,410000000
ARR0213,ART0636,COMP010,22-10-2023,2023,4,2023-10,900,900000000
ARR0214,ART0461,COMP010,17-07-2022,2022,3,2022-07,710,710000000
ARR0215,ART0290,COMP010,21-03-2023,2023,1,2023-03,830,830000000
ARR0216,ART0397,COMP010,07-10-2023,2023,4,2023-10,900,900000000
ARR0217,ART0736,COMP010,21-12-2024,2024,4,2024-12,1215,1215000000
ARR0218,ART0510,COMP010,10-12-2023,2023,4,2023-12,900,900000000
ARR0219,ART0373,COMP010,24-04-2020,2020,2,2020-04,120,120000000
ARR0220,ART0674,COMP010,28-05-2022,2022,2,2022-05,610,610000000
ARR0221,ART0132,COMP010,16-10-2021,2021,4,2021-10,410,410000000
ARR0222,ART0539,COMP010,06-04-2024,2024,2,2024-04,1044,1044000000
ARR0223,ART0185,COMP010,28-07-2021,2021,3,2021-07,340,340000000
ARR0224,ART0317,COMP010,30-12-2020,2020,4,2020-12,175,175000000
ARR0225,ART0704,COMP010,12-11-2024,2024,4,2024-11,1215,1215000000
ARR0226,ART0523,COMP010,27-03-2023,2023,1,2023-03,830,830000000
ARR0227,ART0186,COMP010,28-11-2020,2020,4,2020-11,175,175000000
ARR0228,ART0682,COMP010,14-09-2023,2023,3,2023-09,880,880000000
ARR0229,ART0662,COMP011,19-06-2023,2023,2,2023-06,56,56000000
ARR0230,ART0624,COMP011,14-05-2024,2024,2,2024-05,82,82000000
ARR0231,ART0619,COMP012,21-06-2024,2024,2,2024-06,1725,1725000000
ARR0232,ART0241,COMP012,27-07-2020,2020,3,2020-07,165,165000000
ARR0233,ART0056,COMP012,31-03-2022,2022,1,2022-03,700,700000000
ARR0234,ART0322,COMP012,06-10-2023,2023,4,2023-10,1500,1500000000
ARR0235,ART0231,COMP012,11-08-2022,2022,3,2022-08,1130,1130000000
ARR0236,ART0694,COMP012,11-08-2024,2024,3,2024-08,1830,1830000000
ARR0237,ART0392,COMP012,08-08-2023,2023,3,2023-08,1400,1400000000
ARR0238,ART0587,COMP012,24-01-2024,2024,1,2024-01,1620,1620000000
ARR0239,ART0528,COMP012,13-01-2024,2024,1,2024-01,1620,1620000000
ARR0240,ART0541,COMP012,07-03-2024,2024,1,2024-03,1830,1830000000
ARR0241,ART0472,COMP012,25-03-2023,2023,1,2023-03,1200,1200000000
ARR0242,ART0301,COMP012,02-12-2020,2020,4,2020-12,190,190000000
ARR0243,ART0559,COMP012,08-12-2024,2024,4,2024-12,1950,1950000000
ARR0244,ART0617,COMP012,11-05-2024,2024,2,2024-05,1725,1725000000
ARR0245,ART0316,COMP012,06-01-2023,2023,1,2023-01,1200,1200000000
ARR0246,ART0340,COMP012,10-01-2020,2020,1,2020-01,130,130000000
ARR0247,ART0435,COMP012,20-04-2020,2020,2,2020-04,145,145000000
ARR0248,ART0693,COMP012,05-07-2024,2024,3,2024-07,1725,1725000000
ARR0249,ART0376,COMP012,20-07-2023,2023,3,2023-07,1400,1400000000
ARR0250,ART0656,COMP012,16-11-2022,2022,4,2022-11,1130,1130000000
ARR0251,ART0620,COMP012,01-05-2024,2024,2,2024-05,1725,1725000000
ARR0252,ART0308,COMP012,15-10-2023,2023,4,2023-10,1500,1500000000
ARR0253,ART0081,COMP012,03-06-2020,2020,2,2020-06,145,145000000
ARR0254,ART0058,COMP012,05-07-2023,2023,3,2023-07,1400,1400000000
ARR0255,ART0689,COMP012,19-12-2024,2024,4,2024-12,1950,1950000000
ARR0256,ART0459,COMP012,07-02-2022,2022,1,2022-02,700,700000000
ARR0257,ART0031,COMP012,26-03-2023,2023,1,2023-03,1200,1200000000
ARR0258,ART0521,COMP013,25-01-2024,2024,1,2024-01,79170,79170000000
ARR0259,ART0088,COMP013,28-05-2021,2021,2,2021-05,52500,52500000000
ARR0260,ART0695,COMP013,18-10-2023,2023,4,2023-10,78000,78000000000
ARR0261,ART0722,COMP013,12-03-2024,2024,1,2024-03,79170,79170000000
ARR0262,ART0463,COMP013,02-06-2022,2022,2,2022-06,64000,64000000000
ARR0263,ART0433,COMP013,14-07-2021,2021,3,2021-07,55000,55000000000
ARR0264,ART0522,COMP013,27-10-2024,2024,4,2024-10,83850,83850000000
ARR0265,ART0408,COMP013,06-08-2020,2020,3,2020-08,44500,44500000000
ARR0266,ART0588,COMP013,05-10-2023,2023,4,2023-10,73500,73500000000
ARR0267,ART0179,COMP013,24-01-2023,2023,1,2023-01,71000,71000000000
ARR0268,ART0671,COMP013,22-09-2024,2024,3,2024-09,82290,82290000000
ARR0269,ART0039,COMP013,23-02-2022,2022,1,2022-02,61000,61000000000
ARR0270,ART0622,COMP013,25-07-2024,2024,3,2024-07,82290,82290000000
ARR0271,ART0560,COMP013,11-10-2022,2022,4,2022-10,68500,68500000000
ARR0272,ART0180,COMP013,18-04-2021,2021,2,2021-04,52500,52500000000
ARR0273,ART0221,COMP013,29-09-2020,2020,3,2020-09,44500,44500000000
ARR0274,ART0259,COMP013,01-08-2022,2022,3,2022-08,61000,61000000000
ARR0275,ART0606,COMP013,02-12-2024,2024,4,2024-12,83850,83850000000
ARR0276,ART0470,COMP013,09-01-2023,2023,1,2023-01,75800,75800000000
ARR0277,ART0129,COMP013,28-04-2021,2021,2,2021-04,52500,52500000000
ARR0278,ART0069,COMP013,08-01-2023,2023,1,2023-01,71000,71000000000
ARR0279,ART0358,COMP013,24-11-2022,2022,4,2022-11,68500,68500000000
ARR0280,ART0292,COMP013,18-08-2023,2023,3,2023-08,75800,75800000000
ARR0281,ART0605,COMP013,25-02-2024,2024,1,2024-02,79170,79170000000
ARR0282,ART0394,COMP013,11-10-2023,2023,4,2023-10,78000,78000000000
ARR0283,ART0657,COMP013,20-07-2024,2024,3,2024-07,82290,82290000000
ARR0284,ART0068,COMP013,19-07-2021,2021,3,2021-07,55000,55000000000
ARR0285,ART0149,COMP013,05-11-2021,2021,4,2021-11,52500,52500000000
ARR0286,ART0112,COMP013,10-12-2023,2023,4,2023-12,78000,78000000000
ARR0287,ART0673,COMP013,19-05-2024,2024,2,2024-05,80730,80730000000
ARR0288,ART0691,COMP014,13-12-2024,2024,4,2024-12,260,260000000
ARR0289,ART0685,COMP014,09-03-2024,2024,1,2024-03,95,95000000
ARR0290,ART0688,COMP014,06-06-2023,2023,2,2023-06,92,92000000
ARR0291,ART0502,COMP014,05-03-2024,2024,1,2024-03,95,95000000
ARR0292,ART0632,COMP014,11-12-2024,2024,4,2024-12,260,260000000
ARR0293,ART0412,COMP015,21-03-2022,2022,1,2022-03,1080,1080000000
ARR0294,ART0009,COMP015,02-07-2023,2023,3,2023-07,1480,1480000000
ARR0295,ART0732,COMP015,08-03-2024,2024,1,2024-03,1785,1785000000
ARR0296,ART0187,COMP015,12-09-2021,2021,3,2021-09,990,990000000
ARR0297,ART0270,COMP015,29-02-2020,2020,1,2020-02,500,500000000
ARR0298,ART0263,COMP015,24-11-2022,2022,4,2022-11,1380,1380000000
ARR0299,ART0163,COMP015,18-03-2023,2023,1,2023-03,1480,1480000000
ARR0300,ART0475,COMP015,23-04-2022,2022,2,2022-04,1180,1180000000
ARR0301,ART0658,COMP015,02-05-2024,2024,2,2024-05,1785,1785000000
ARR0302,ART0526,COMP015,04-12-2023,2023,4,2023-12,1700,1700000000
ARR0303,ART0332,COMP015,23-12-2021,2021,4,2021-12,990,990000000
ARR0304,ART0310,COMP015,02-11-2022,2022,4,2022-11,1080,1080000000
ARR0305,ART0616,COMP015,05-03-2024,2024,1,2024-03,1870,1870000000
ARR0306,ART0126,COMP015,18-06-2020,2020,2,2020-06,540,540000000
ARR0307,ART0430,COMP015,24-01-2021,2021,1,2021-01,720,720000000
ARR0308,ART0312,COMP015,31-10-2022,2022,4,2022-10,1380,1380000000
ARR0309,ART0748,COMP015,13-11-2024,2024,4,2024-11,2057,2057000000
ARR0310,ART0585,COMP015,02-06-2024,2024,2,2024-06,1870,1870000000
ARR0311,ART0567,COMP015,21-05-2024,2024,2,2024-05,1870,1870000000
ARR0312,ART0306,COMP015,22-11-2023,2023,4,2023-11,1700,1700000000
ARR0313,ART0341,COMP015,30-11-2022,2022,4,2022-11,1380,1380000000
ARR0314,ART0719,COMP015,02-04-2023,2023,2,2023-04,1560,1560000000
ARR0315,ART0652,COMP015,05-12-2023,2023,4,2023-12,1700,1700000000
ARR0316,ART0556,COMP015,21-08-2023,2023,3,2023-08,1640,1640000000
ARR0317,ART0491,COMP015,08-09-2020,2020,3,2020-09,590,590000000
ARR0318,ART0304,COMP015,07-05-2022,2022,2,2022-05,1180,1180000000
ARR0319,ART0384,COMP015,07-12-2023,2023,4,2023-12,1700,1700000000
ARR0320,ART0109,COMP015,19-12-2020,2020,4,2020-12,650,650000000
ARR0321,ART0275,COMP015,05-02-2022,2022,1,2022-02,1080,1080000000
ARR0322,ART0010,COMP015,11-05-2022,2022,2,2022-05,1380,1380000000
ARR0323,ART0090,COMP015,13-06-2023,2023,2,2023-06,1560,1560000000
ARR0324,ART0028,COMP016,22-11-2020,2020,4,2020-11,12600,12600000000
ARR0325,ART0548,COMP016,05-05-2024,2024,2,2024-05,54000,54000000000
ARR0326,ART0036,COMP016,05-09-2023,2023,3,2023-09,40500,40500000000
ARR0327,ART0399,COMP016,29-10-2020,2020,4,2020-10,12600,12600000000
ARR0328,ART0169,COMP016,17-05-2020,2020,2,2020-05,11200,11200000000
ARR0329,ART0717,COMP016,13-08-2024,2024,3,2024-08,58500,58500000000
ARR0330,ART0439,COMP016,14-05-2021,2021,2,2021-05,15000,15000000000
ARR0331,ART0554,COMP016,26-02-2022,2022,1,2022-02,17500,17500000000
ARR0332,ART0115,COMP016,05-04-2021,2021,2,2021-04,15000,15000000000
ARR0333,ART0708,COMP016,05-08-2023,2023,3,2023-08,40500,40500000000
ARR0334,ART0700,COMP016,10-09-2024,2024,3,2024-09,62100,62100000000
ARR0335,ART0649,COMP016,24-01-2024,2024,1,2024-01,49500,49500000000
ARR0336,ART0411,COMP016,04-09-2022,2022,3,2022-09,17800,17800000000
ARR0337,ART0684,COMP016,14-10-2024,2024,4,2024-10,62100,62100000000
ARR0338,ART0621,COMP016,13-08-2024,2024,3,2024-08,58500,58500000000
ARR0339,ART0456,COMP016,31-10-2023,2023,4,2023-10,45000,45000000000
ARR0340,ART0029,COMP016,13-09-2023,2023,3,2023-09,40500,40500000000
ARR0341,ART0236,COMP016,25-04-2022,2022,2,2022-04,17800,17800000000
ARR0342,ART0066,COMP016,20-11-2020,2020,4,2020-11,12600,12600000000
ARR0343,ART0626,COMP016,20-06-2024,2024,2,2024-06,54000,54000000000
ARR0344,ART0049,COMP016,25-07-2021,2021,3,2021-07,16000,16000000000
ARR0345,ART0524,COMP016,21-06-2024,2024,2,2024-06,54000,54000000000
ARR0346,ART0745,COMP016,08-09-2024,2024,3,2024-09,58500,58500000000
